channel,n_class1,n_class2,tau1,tau2,train_auc,test_auc,train_acc,test_acc,n_train,n_test,error
EMU038_inspection_clipped_bipolar_ch001,431.0,431.0,35.0,34.0,1.0,0.4621480949273018,1.0,0.45784543325526933,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch002,431.0,431.0,35.0,34.0,0.75,0.4592138387201159,0.75,0.48711943793911006,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch003,431.0,431.0,35.0,34.0,0.75,0.4515354112620592,0.875,0.45081967213114754,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch004,431.0,431.0,35.0,34.0,0.5,0.4119476331247361,0.625,0.4929742388758782,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch005,431.0,431.0,35.0,34.0,0.875,0.4869768385720319,0.75,0.4953161592505855,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch006,431.0,431.0,35.0,34.0,0.875,0.376221007080607,0.625,0.4098360655737705,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch007,431.0,431.0,35.0,34.0,0.875,0.6671456542842882,0.875,0.5690866510538641,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch008,431.0,431.0,35.0,34.0,1.0,0.6986546298175276,1.0,0.6159250585480094,8.0,854.0,
EMU038_inspection_clipped_bipolar_ch009,,,,,,,,,,,"Unable to synchronously open file (truncated file: eof = 3313152, sblock->base_addr = 512, stored_eof = 30207858)"
EMU039_outcome_clipped_bipolar_ch092,49.0,15.0,35.0,34.0,1.0,0.5635062611806797,1.0,0.7321428571428571,8.0,56.0,
EMU039_outcome_clipped_bipolar_ch093,49.0,15.0,35.0,34.0,1.0,0.7334525939177102,1.0,0.7321428571428571,8.0,56.0,
EMU039_outcome_clipped_bipolar_ch094,49.0,15.0,35.0,34.0,0.6666666666666667,0.48658318425760294,0.875,0.75,8.0,56.0,
EMU039_outcome_clipped_bipolar_ch095,49.0,15.0,35.0,34.0,1.0,0.5438282647584973,1.0,0.5892857142857143,8.0,56.0,
EMU039_outcome_clipped_bipolar_ch096,49.0,15.0,35.0,34.0,1.0,0.5688729874776386,0.875,0.6428571428571429,8.0,56.0,
