tau1,tau2,train_auc,test_auc
1,2,0.6533333333333333,0.48048608542899407
1,3,0.6533333333333333,0.5432230029585798
1,4,0.6711111111111111,0.5509372688609467
1,5,0.6844444444444444,0.5418823964497042
1,6,0.6666666666666667,0.5334573779585798
1,7,0.6533333333333333,0.5189996301775148
1,8,0.6577777777777778,0.5110888960798816
1,9,0.6488888888888888,0.5104185928254439
1,10,0.6488888888888888,0.5201957747781065
1,11,0.6444444444444444,0.5299613997781065
1,12,0.6622222222222223,0.5351215791420119
1,13,0.6711111111111111,0.5355029585798816
1,14,0.6577777777777778,0.5323479105029586
1,15,0.6444444444444445,0.521339913091716
1,16,0.6622222222222223,0.504466762204142
1,17,0.6533333333333333,0.4935396634615385
1,18,0.6444444444444444,0.4945971246301776
1,19,0.6444444444444444,0.5047036797337279
1,20,0.6533333333333333,0.5101296690088758
1,21,0.6577777777777778,0.5161450628698224
1,22,0.6533333333333333,0.5151338295118343
1,23,0.6488888888888888,0.5135158561390533
1,24,0.64,0.5094362518491125
1,25,0.6222222222222222,0.514168823964497
1,26,0.6222222222222221,0.5174625554733727
1,27,0.6177777777777778,0.519115199704142
1,28,0.6088888888888889,0.5215190458579881
1,29,0.6133333333333334,0.5258644600591715
1,30,0.6177777777777778,0.5252230491863905
1,31,0.6044444444444445,0.5195774778106508
1,32,0.5955555555555556,0.5171967455621301
1,33,0.5911111111111111,0.5186644785502958
1,34,0.6266666666666666,0.49017659023668636
1,35,0.6000000000000001,0.49109536797337283
1,36,0.6488888888888888,0.5399870562130178
1,37,0.6577777777777778,0.5482329419378699
1,38,0.6622222222222223,0.5445404955621301
1,39,0.648888888888889,0.5378432414940828
1,40,0.6488888888888888,0.5198548446745562
1,41,0.6444444444444445,0.5112680288461539
1,42,0.6533333333333333,0.5075929178994082
1,43,0.6622222222222223,0.5052815273668638
1,44,0.6577777777777778,0.5068186020710059
1,45,0.6533333333333332,0.5125797429733727
1,46,0.6577777777777779,0.5167691383136095
1,47,0.6755555555555556,0.5207678439349113
1,48,0.6888888888888889,0.5193405602810651
1,49,0.6488888888888888,0.5169020432692307
1,50,0.6222222222222222,0.518202200443787
2,1,0.5822222222222222,0.47144276997041423
2,3,0.6044444444444445,0.550093611316568
2,4,0.6711111111111111,0.5566984097633136
2,5,0.6755555555555556,0.5362657174556213
2,6,0.64,0.5248474482248521
2,7,0.6399999999999999,0.5151222725591715
2,8,0.6355555555555555,0.5082458857248522
2,9,0.6355555555555555,0.5063043176775148
2,10,0.64,0.5104937130177516
2,11,0.6222222222222222,0.519386788091716
2,12,0.6444444444444445,0.5290021727071006
2,13,0.6444444444444445,0.5307588295118344
2,14,0.6311111111111112,0.5255061945266273
2,15,0.6311111111111111,0.5154632026627218
2,16,0.648888888888889,0.5012886002218935
2,17,0.6311111111111112,0.4877149593195267
2,18,0.6355555555555557,0.4895525147928994
2,19,0.64,0.4899512296597633
2,20,0.6311111111111112,0.491915911612426
2,21,0.6222222222222222,0.4933258598372781
2,22,0.6311111111111111,0.49816244452662717
2,23,0.6266666666666667,0.49972263313609466
2,24,0.6088888888888889,0.5045245469674557
2,25,0.5955555555555555,0.5087486131656805
2,26,0.5866666666666667,0.5131171412721893
2,27,0.6044444444444445,0.5153765255177515
2,28,0.6177777777777778,0.5186066937869823
2,29,0.6044444444444445,0.5214092548076923
2,30,0.5955555555555556,0.5243273853550295
2,31,0.5511111111111111,0.5256159855769231
2,32,0.56,0.5226920765532544
2,33,0.56,0.514007026627219
2,34,0.5955555555555555,0.4954754530325443
2,35,0.568888888888889,0.494637573964497
2,36,0.6088888888888888,0.5222644693047338
2,37,0.6488888888888888,0.5384442030325445
2,38,0.6577777777777779,0.5409925110946745
2,39,0.6711111111111111,0.5332262389053255
2,40,0.6488888888888888,0.5207794008875739
2,41,0.6444444444444444,0.5108462000739645
2,42,0.6622222222222223,0.5052988627958581
2,43,0.6666666666666666,0.5048539201183433
2,44,0.6755555555555556,0.5082401072485208
2,45,0.6666666666666667,0.5139839127218935
2,46,0.6533333333333333,0.5190574149408285
2,47,0.6533333333333333,0.5218946468195266
2,48,0.6711111111111111,0.5208660780325444
2,49,0.6622222222222222,0.5217270710059171
2,50,0.6311111111111112,0.5157810188609467
