patient,channel,train_auc,test_auc
EMU024,33,0.9375,0.638137356919875
EMU024,58,0.8125,0.6334547346514048
EMU024,9,1.0,0.6326742976066597
EMU024,40,1.0,0.6285119667013528
EMU024,14,0.75,0.600156087408949
EMU025,204,0.875,0.7354941976790716
EMU025,135,1.0,0.7338935574229692
EMU025,134,1.0,0.7322929171668667
EMU025,209,0.9375,0.7198879551820728
EMU025,206,0.8125,0.7086834733893558
EMU030,154,0.9375,0.5657685488145942
EMU030,116,0.75,0.5634836492587786
EMU030,149,0.9375,0.5609062825598187
EMU030,72,0.8125,0.5552031732685032
EMU030,139,1.0,0.5515107755863051
EMU036,189,0.75,0.5740655549166187
EMU036,117,0.625,0.5731167337550316
EMU036,162,0.6875,0.5687464059804486
EMU036,69,0.625,0.5655261644623346
EMU036,128,0.625,0.5637147786083956
EMU037,71,0.8125,0.5730003029519847
EMU037,72,0.875,0.5673742963212729
EMU037,74,1.0,0.558657152490967
EMU037,75,0.8125,0.5445895685244868
EMU037,149,1.0,0.542568177033501
EMU038,9,0.9375,0.8193046635477624
EMU038,53,0.875,0.8119498269611526
EMU038,10,0.9375,0.780073383828135
EMU038,177,1.0,0.7774617845716317
EMU038,26,0.8125,0.7765358226063874
EMU039,93,1.0,0.7334525939177102
EMU039,148,1.0,0.704830053667263
EMU039,112,0.9166666666666669,0.7048300536672629
EMU039,138,1.0,0.6994633273703041
EMU039,144,0.5833333333333333,0.6833631484794276
EMU051,140,0.8125,0.6148497917906008
EMU051,89,0.75,0.6062239738251041
EMU051,141,0.625,0.5996058893515764
EMU051,99,1.0,0.5886748958953004
EMU051,116,1.0,0.5848453301606187
