patient,channel,train_auc,test_auc
EMU024,59,0.746667,0.670127
EMU024,60,0.724444,0.656671
EMU024,46,0.72,0.645905
EMU024,40,0.848889,0.637447
EMU024,9,0.835556,0.632065
EMU030,116,0.675556,0.573118
EMU030,12,0.697778,0.556351
EMU030,173,0.626667,0.55156
EMU030,154,0.666667,0.548319
EMU030,153,0.546667,0.546266
EMU036,160,0.626667,0.575882
EMU036,64,0.626667,0.570784
EMU036,187,0.635556,0.570459
EMU036,97,0.786667,0.570394
EMU036,177,0.551111,0.569745
EMU037,72,0.710407,0.564014
EMU037,200,0.760181,0.5514
EMU037,71,0.886878,0.548639
EMU037,77,0.733032,0.545204
EMU037,149,0.59276,0.544333
EMU038,10,0.826667,0.806849
EMU038,53,0.782222,0.805548
EMU038,9,0.911111,0.798083
EMU038,51,0.822222,0.782151
EMU038,26,0.711111,0.77542
EMU039,88,0.737778,0.69716
EMU039,52,0.737778,0.691657
EMU039,50,0.84,0.689759
EMU039,7,0.804444,0.681084
EMU039,92,0.604444,0.678081
EMU051,89,0.635556,0.606861
EMU051,140,0.706667,0.606732
EMU051,116,0.777778,0.599897
EMU051,152,0.746667,0.592336
EMU051,28,0.715556,0.581315
